갯수,문제,답변,핵심정리,비슷한 문제 출제 빈도(상/중/하)
21,세계도핑방지위원회 설립 이유 및 기능,"스포츠의 공정성을 유지하고, 약물 부작용으로부터 선수의 건강과 인권을 보호하기 위해 전 세계적인 도핑방지 규정을 통합하고자 설립되었습니다.","스포츠 공정성 확립, 선수 건강 및 인권 보호",상
22,운동 중 글루카곤의 기능,"췌장 알파세포에서 분비되며, 혈당이 낮을 때 간에 저장된 글리코겐을 포도당으로 분해하여 혈당을 높여주는 역할을 함.","췌장 분비 호르몬, 혈당 상승 작용",중
23,여자 피지크 규정포즈 4개를 설명하시오,"프론트 포즈(전면), 사이드 체스트(측면 가슴), 백 포즈(후면), 사이드 트라이셉스(측면 삼두) 총 4가지임.","프론트 포즈, 사이드 체스트, 백 포즈, 사이드 트라이셉스",상
24,젖산 생성되는 이유와 제거 방법,"고강도 무산소 운동 시 포도당이 불완전 분해되면서 생성되는 피로 물질로, 가벼운 유산소(쿨다운)를 통해 혈류를 유지시켜 산화 및 제거할 수 있음.","무산소 대사 산물, 가벼운 쿨다운으로 산소 공급해 제거",상
25,SNS에 몸 비포 에프터 사진 올릴 때 스포츠 인권 관련 유의사항,"선수나 회원의 초상권과 성적 자기결정권을 존중하여, 반드시 사전에 명시적 동의를 얻어야 하며, 신체 특정 부위를 과도하게 부각하는 사진은 피해야 함.","사전 동의 필수, 초상권 존중, 선정성 지양",중
26,자동심장충격기 사용방법과 순서,"전원 켜기, 패드 부착, 심장 리듬 분석, 제세동(버튼 클릭) 순으로 진행하며, 분석과 제세동 시에는 환자에게서 떨어져야 함.",전원 ON → 패드 부착 → 리듬 분석 → 전기 충격,상
27,여자 피지크 경기 라운드 진행 순서,"예선은 쿼터턴 비교 심사를 하고, 결선에서는 4가지 규정 포즈를 취하는 개인 루틴 시연 후, 다시 전체 쿼터턴과 규정 포즈 비교 심사를 거침.",예선(쿼터턴) -> 결선(개인루틴 + 규정포즈 비교심사),상
28,도핑방지 위원회에 대해 설명,"WADA(World Anti-Doping Agency)는 전 세계 모든 스포츠의 도핑 방지 규정을 통합하고 감시, 적발, 교육을 통해 클린 스포츠를 주도하는 국제 독립기구임.",세계 도핑 방지 규정 통합/감시하는 국제 독립 기구,상
29,흉쇄유돌근의 동작 설명,"목 양옆에 위치한 근육으로, 양쪽이 수축하면 목을 앞으로 굽히고, 한쪽만 수축하면 고개를 반대쪽으로 돌리는 회전 기능을 함.","목 굴곡(양쪽 수축), 목 회전(한쪽 수축)",중
30,테스토스테론 설명,"대표적인 남성 호르몬으로, 근육의 단백질 합성을 촉진하여 근육량과 근력을 증가시키고 회복을 돕는 역할을 함.","단백질 합성 촉진, 근육/근력 증가 동화호르몬",상
31,화상의 응급처치 방법,"즉시 흐르는 차가운 물로 15분 이상 열기를 식히고, 물집은 터뜨리지 않으며 깨끗한 거즈로 덮어 감염을 막은 후 병원으로 이동함.",15분 이상 냉각 → 물집 보존 → 거즈 덮고 병원,상
32,생활체육 설명,개인의 건강 증진과 여가 선용을 목적으로 일상 생활 속에서 자발적으로 참여하는 모든 신체 활동을 의미함.,건강 증진과 여가 선용을 위한 자발적 신체 활동,상
33,척추 안정화 시키는 근육,"배/엉덩이/등 근육 키워야됨 -> 코어 근육, 척추기립근, 복근/둔근(허리 집중 부담 줄이고 골반 안정성 높임) 강화","목표 근육 고립, 부상 예방",중
34,에너지 소비량 4가지,"하루 동안 소비하는 총 에너지로 기초대사량, 활동대사량, 식사성 발열효과(식이성 열발생), 적응대사량으로 구성됨.",기초대사량 + 활동대사량 + 식사성 발열효과,상
35,치료목적사용면책 TUE 규정,"선수가 급성 또는 만성 질환 치료를 위해 부득이하게 금지목록에 포함된 약물이나 방법을 사용해야 할 경우, 사전에 위원회의 승인을 받아 면책받는 제도임.",질병 치료 목적 금지약물 사용 사전 승인 제도,상
36,IFBB에서 탄 관련 규정,"문질러서 지워지는 컬러링(탄)은 전면 금지되며, 무대 오르기 24시간 전에 바르는 자연스러운 브론저나 전문 스프레이 탄닝만 허용됨.","지워지는 탄 금지, 24시간 전 브론저/스프레이 탄 허용",상
37,여자 피지크 쿼터턴 백 지도 방법,"심판을 등지고 선 상태에서 어깨와 등을 넓게 펼쳐 광배근과 등 근육의 비례를 보여주며, 둔근과 햄스트링에 긴장감을 주어 하체의 발달도를 심사받도록 지도함.","후면 응시, 광배근 넓게 폄, 둔근/햄스트링 수축 유지",상
38,심폐계 기능 설명,"폐를 통해 산소를 들이마시고, 심장과 혈관을 통해 산소와 영양분을 전신 근육에 공급하며 이산화탄소 등 노폐물을 배출하는 기능임.",산소/영양분 공급 및 노폐물 배출,중
39,여자 피지크 규정포즈 4가지 설명,"프론트 포즈(전면), 사이드 체스트(측면 가슴), 백 포즈(후면), 사이드 트라이셉스(측면 삼두) 총 4가지임.","프론트 포즈, 사이드 체스트, 백 포즈, 사이드 트라이셉스",상
40,도핑방지위원회가 무엇인가,"WADA(World Anti-Doping Agency)는 전 세계 모든 스포츠의 도핑 방지 규정을 통합하고 감시, 적발, 교육을 통해 클린 스포츠를 주도하는 국제 독립기구임.",세계 도핑 방지 규정 통합/감시하는 국제 독립 기구,상
41,클래식피지크 복장규정 설명,"단색의 불투명한 트렁크를 착용해야 하며, 장신구 착용은 금지되고 전면이 가려져야 하며 맨발로 무대에 오름.","단색/불투명 트렁크, 앞면 가림, 맨발, 장신구 금지",상
42,출혈 발생 시 응급처치,"깨끗한 거즈나 천으로 상처 부위를 강하게 직접 압박(직접압박법)하고, 출혈 부위를 심장보다 높게 들어 올려 지혈함.","직접 압박 실시, 심장보다 높게 거상",상
43,생활체육지도사 필요성 4가지,"올바른 운동 방법 및 지식 전달, 안전사고 예방 및 응급처치, 참여자의 흥미와 동기 유발, 체계적인 프로그램 관리를 위해 필요함.","올바른 지도, 안전/응급처치, 동기 유발, 프로그램 관리",상
44,남자 보디빌딩 사이드 트라이셉스 지도방법,옆을 향해 서서 심판 측 발을 뒤로 빼서 발끝을 세우고 종아리를 수축시킵니다. 양손을 등 뒤로 깍지 끼고 가슴을 들어 측면 삼두근과 외복사근을 강하게 수축시킴.,"측면 응시, 발끝 세우고 양손 뒤로 깍지, 삼두/복사근 수축",상
45,운동 중 과호흡 발생 시 나타나는 생리적 반응,"체내 이산화탄소가 과도하게 배출되어 혈액이 알칼리화되며, 어지러움, 호흡 곤란, 손발 저림 현상이 나타날 수 있음.","이산화탄소 과다 배출, 호흡성 알칼리증 (어지러움)",중
46,트레이닝 지도 시 접촉에 관하여 인권침해 방지하려면 어떻게 해야 하는가,"반드시 사전에 회원의 동의를 구하고, 접촉 부위와 목적을 명확히 설명하며, 최소한의 터치나 도구를 활용하여 지도해야 함.","사전 동의 필수, 목적 설명, 최소한의 터치",상
47,심폐소생술 절차,"환자의 의식을 확인하고 119에 신고한 뒤, 가슴압박 30회와 인공호흡 2회를 번갈아 가며 실시함.",의식 확인 → 119 신고 → 가슴압박(30) → 인공호흡(2),상
48,치료목적사용면책 TUE에 대하여 설명하시오,"선수가 급성 또는 만성 질환 치료를 위해 부득이하게 금지목록에 포함된 약물이나 방법을 사용해야 할 경우, 사전에 위원회의 승인을 받아 면책받는 제도임.",질병 치료 목적 금지약물 사용 사전 승인 제도,상
49,"보디빌딩의 탄, 브론저 규정","문질러서 지워지는 컬러링(탄)은 전면 금지되며, 무대 오르기 24시간 전에 바르는 자연스러운 브론저나 전문 스프레이 탄닝만 허용됨.","지워지는 탄 금지, 24시간 전 브론저/스프레이 탄 허용",상
50,여자 피지크 쿼터턴 백 지도방법,"심판을 등지고 선 상태에서 어깨와 등을 넓게 펼쳐 광배근과 등 근육의 비례를 보여주며, 둔근과 햄스트링에 긴장감을 주어 하체의 발달도를 심사받도록 지도함.","후면 응시, 광배근 넓게 폄, 둔근/햄스트링 수축 유지",상
51,심폐계 기능 설명,"폐를 통해 산소를 들이마시고, 심장과 혈관을 통해 산소와 영양분을 전신 근육에 공급하며 이산화탄소 등 노폐물을 배출하는 기능임.",산소/영양분 공급 및 노폐물 배출,중
52,지방에 대해서 설명하시오,"1g당 9kcal의 높은 에너지를 내며, 장시간 유산소 운동의 주 에너지원이고 세포막 형성, 체온 유지, 장기 보호 역할을 함.","9kcal/g, 유산소 에너지원, 체온 유지/장기 보호",상
53,회전근개 설명하시오,"어깨 관절의 안정성을 유지하는 4개의 근육으로 극상근(외전), 극하근(외회전), 소원근(외회전), 견갑하근(내회전)으로 구성됨.","어깨 안정화: 극상근, 극하근, 소원근, 견갑하근",상
54,PRICES 설명하시오,"부상 초기 응급처치 원칙으로, 보호(P), 휴식(R), 얼음찜질(I), 압박(C), 거상(E), 지지(S)를 통해 부종과 염증을 줄이는 방법임.",보호/휴식/얼음찜질/압박/거상/지지,상
55,"보편성 원리, 불가분의 원리를 스포츠에 적용하는 방법은?","보편성은 인종이나 성별에 관계없이 누구나 누려야 하는 권리임을 뜻하며, 불가분성은 모든 권리가 서로 밀접하게 연결되어 있어 어느 하나라도 분리하거나 침해할 수 없음을 의미함.","보편성(누구나), 불가분성(권리는 분리불가/연결됨)",상
56,드레싱 하는 이유,"상처 부위의 오염과 감염을 방지하고, 출혈을 흡수 및 지혈하며, 외부 자극으로부터 상처를 보호하기 위해 실시함.","감염 방지, 지혈 보조, 상처 보호",중
57,생활체육의 필요성/효과/기능 (신체적 정신적 사회적),"생리적으로는 체력 증진과 질병 예방, 정신적으로는 스트레스 해소와 자아실현, 사회적으로는 원만한 대인관계 형성과 공동체 의식 함양의 효과가 있음.",신체 건강 + 스트레스 해소 + 사회적 유대감 형성,상
58,발목 배쪽 굽힘 시 사용되는 근육,"발등을 정강이 쪽으로 당기는 동작으로, 전경골근(앞정강근)이 주동근으로 사용됨.","발등 당기는 동작, 전경골근(앞정강근)",상
59,비타민 B6의 역할,"단백질 및 아미노산 대사에 필수적인 조효소로, 단백질 섭취가 많은 보디빌더에게 중요하며 부족 시 피부염이나 빈혈, 피로가 발생할 수 있음.","아미노산/단백질 대사 필수, 부족 시 피로/피부염",중
60,세계도핑 규정에 따른 도핑방지위원회 설명하시오,"WADA(World Anti-Doping Agency)는 전 세계 모든 스포츠의 도핑 방지 규정을 통합하고 감시, 적발, 교육을 통해 클린 스포츠를 주도하는 국제 독립기구임.",세계 도핑 방지 규정 통합/감시하는 국제 독립 기구,상
61,남자 피지크 쿼터턴 4가지,"프론트 스탠스(전면), 쿼터턴 라이트(우측면), 쿼터턴 백(후면), 쿼터턴 라이트(좌측면) 순서로 회전하며 자연스러운 근육의 조화와 역삼각형 체형을 심사함.",전면 -> 우측면 -> 후면 -> 좌측면 (자연스러운 V테이퍼 심사),상
62,필수 지방산에 대해 설명하시오,"체내에서 스스로 합성되지 않아 반드시 음식으로 섭취해야 하는 지방산으로, 오메가-3와 오메가-6가 대표적임.","체내 합성 불가, 음식 섭취 필수 (오메가3/6)",중
63,단백질 에너지원으로서 과다 섭취 시 단점,"간과 신장에 무리를 주고, 칼슘 배출을 촉진해 뼈가 약해질 수 있으며, 남은 에너지는 체지방으로 전환되어 비만을 유발함.","간/신장 부담, 칼슘 배출, 체지방 축적",상
64,초과산소 섭취량이란?,"운동 후 안정 상태로 돌아가기 위해 회복기 동안 안정 시보다 추가로 더 소비하는 산소의 양으로, 젖산 제거와 에너지 보충에 쓰임.","운동 후 추가 산소 소비 (젖산 제거, 에너지 재합성)",상
65,기립근 운동이 무엇이고 관련 운동 3가지,해당 동작 수행 시 타겟 근육의 정확한 고립과 올바른 호흡법을 통해 부상을 방지하고 운동 효율을 극대화해야 함.,"목표 근육 고립, 부상 예방",중
66,도핑방지위원회에 대하여 설명하시오,선수의 건강 보호와 공정성을 위해 도핑 검사에 성실히 응해야 하며 위반 시 제재를 받음.,도핑 방지 및 규정 준수,상
67,남자 피지크 복장 규정,"패턴이 없는 단색의 불투명한 보드숏(서퍼팬츠)을 착용해야 하며, 길이는 무릎을 덮지 않아야 하고 상의 탈의 및 맨발 상태여야 함.","단색 보드숏(무릎 위 길이), 맨발, 상의 탈의",상
68,슬개골에 대하여 설명,"무릎관절 앞쪽에 있는 납작한 뼈(무릎뼈)로, 대퇴사두근 힘줄에 감싸여 무릎 관절을 보호하고 지렛대 역할을 해 폄 힘을 증가시킴.","무릎뼈, 관절 보호 및 대퇴사두근 지렛대 역할",중
69,운동 시 필요한 영양적 보조제에 대해 설명,해당 동작 수행 시 타겟 근육의 정확한 고립과 올바른 호흡법을 통해 부상을 방지하고 운동 효율을 극대화해야 함.,"목표 근육 고립, 부상 예방",중
70,여자 보디피트니스 쿼터턴 동작 설명,"우향우를 한 상태로 스탠스를 넓히지 않고 시선은 심판을 향하며, 상체를 펴고 복부와 측면 근육에 자연스럽게 긴장을 주도록 지도함.","우향우 상태, 자연스러운 스탠스, 측면 근육 긴장감 표현",중
71,근육 펌핑이란,웨이트 트레이닝 시 해당 근육 부위로 혈류량이 일시적으로 급격히 증가하여 근육이 팽창하고 단단해지는 현상을 말함.,근육 내 혈류량 증가에 의한 일시적 팽창,중
72,인권의 보편성과 불가역성이란,"보편성은 누구나 예외 없이 누려야 하는 권리임을 뜻하며, 불가분성은 모든 권리가 밀접하게 연결되어 분리할 수 없음을 의미함.","보편성(누구나), 불가분성(권리는 분리불가/연결됨)",상
73,근육운동 후 섭취해야 하는 영양소,"고갈된 글리코겐을 보충하기 위해 탄수화물을, 손상된 근육 조직의 회복과 합성을 위해 양질의 단백질을 섭취해야 함.",탄수화물(에너지 보충) + 단백질(근육 회복/합성),상
74,기도폐쇄(하임리히법) 확인 방법,"환자가 기침을 못 하거나 목을 감싸쥐는 초킹 사인을 보일 때, 뒤에서 명치와 배꼽 사이를 주먹으로 강하게 위로 밀어 올리는 하임리히법을 실시함.",초킹 사인 확인 → 하임리히법(복부 밀어내기),상
75,쇼크 2가지에 대해 설명,과다 출혈 등으로 인한 저혈량성 쇼크와 알레르기 반응으로 인한 아나필락시스 쇼크가 대표적임.,"저혈량성 쇼크(출혈), 아나필락시스 쇼크(알레르기)",중
76,스포츠 폭력,"스포츠 현장에서 우월한 지위를 이용하여 신체적, 정신적, 성적으로 고통을 가하는 일체의 권력형 가해 행위를 말함.",지위를 이용한 신체/정신/성적 고통 가해,상
77,여자 보디피트니스 경기진행 순서,"예선 라운드에서 쿼터턴 비교 심사를 실시하고, 결선 라운드에서는 I-워킹 개인 프레젠테이션을 거친 후 전체 라인업하여 다시 쿼터턴 비교 심사를 진행함.",예선 쿼터턴 -> 결선 I-워킹 후 쿼터턴 비교심사,상
78,레그프레스 시 주로 사용되는 근육,"하체 전반을 강화하는 다관절 운동으로, 대퇴사두근이 주동근이며 대둔근과 햄스트링이 보조근으로 주로 쓰임.","주동근: 대퇴사두근 / 보조: 대둔근, 햄스트링",상
79,도핑검사 시기 별 검사약물 종류,"경기기간 외 검사에서는 주로 근육을 키우는 상시 금지약물(동화작용제 등)을 검사하고, 경기기간 중 검사에서는 상시금지약물에 흥분제, 마약류 등 특정금지약물을 추가로 검사함.","경기 외(상시금지약물) / 경기 중(상시 + 흥분제,마약류)",상
80,고강도 운동 중 탄수화물의 사용형태,고강도 운동 시에는 산소 공급이 충분하지 않아 지방 대신 근육에 저장된 '근글리코겐' 형태의 탄수화물을 주 에너지원으로 빠르게 분해하여 사용함.,근글리코겐 형태로 무산소성 대사를 통해 빠르게 분해 사용,상
81,세계도핑기구에서 지정한 상시금지약물에 대하여 설명,"경기 중과 경기 외를 불문하고 항상 금지되는 약물로 동화작용제(스테로이드), 펩타이드 호르몬, 이뇨제 및 은폐제 등이 있음.","경기 중/외 모두 금지 (스테로이드, 이뇨제 등)",상
82,여자 피지크 쿼터턴 백 지도 방법,"심판을 등지고 선 상태에서 어깨와 등을 넓게 펼쳐 광배근과 등 근육의 비례를 보여주며, 둔근과 햄스트링에 긴장감을 주어 하체의 발달도를 심사받도록 지도함.","후면 응시, 광배근 넓게 폄, 둔근/햄스트링 수축 유지",상
83,카보로딩 설명,시합이나 장거리 대회 전 체내(간과 근육) 글리코겐 저장량을 극대화하기 위해 탄수화물 섭취 비율을 의도적으로 높이는 식이 전략임.,시합 전 체내 글리코겐 저장 극대화 전략,중
84,여자 보디피트니스 대회 진행방법,"예선 라운드에서 쿼터턴 비교 심사를 실시하고, 결선 라운드에서는 I-워킹 개인 프레젠테이션을 거친 후 전체 라인업하여 다시 쿼터턴 비교 심사를 진행함.",예선 쿼터턴 -> 결선 I-워킹 후 쿼터턴 비교심사,상
85,ATP 합성과정 중 지질대사,지방이 유리지방산으로 분해되어 미토콘드리아 내에서 베타산화 과정을 거쳐 아세틸 CoA로 변환된 후 크렙스 회로를 통해 대량의 ATP를 합성함.,베타산화 → 아세틸 CoA → 크렙스 회로 (대량 에너지),상
86,여자 피지크 진행방법,"예선은 쿼터턴 비교 심사를 하고, 결선에서는 4가지 규정 포즈를 취하는 개인 루틴 시연 후, 다시 전체 쿼터턴과 규정 포즈 비교 심사를 거침.",예선(쿼터턴) -> 결선(개인루틴 + 규정포즈 비교심사),상
87,체력 관련 요소 11가지,"건강관련 체력(근력, 근지구력, 심폐지구력, 유연성, 신체조성) 5가지와 기능관련 체력(순발력, 민첩성, 평형성, 협응성, 반응시간, 스피드) 6가지가 있음.",건강관련 5요소 + 기능관련 6요소,중
88,심폐소생술 순서,"환자의 의식을 확인하고 119에 신고한 뒤, 가슴압박 30회와 인공호흡 2회를 번갈아 가며 실시함.",의식 확인 → 119 신고 → 가슴압박(30) → 인공호흡(2),상
89,지도 시 신체 접촉 인권침해 방지하는 방법,"반드시 사전에 회원의 동의를 구하고, 접촉 부위와 목적을 명확히 설명하며, 최소한의 터치나 도구를 활용하여 지도해야 함.","사전 동의 필수, 목적 설명, 최소한의 터치",상
90,수축운동 종류 3가지와 예시,해당 동작 수행 시 타겟 근육의 정확한 고립과 올바른 호흡법을 통해 부상을 방지하고 운동 효율을 극대화해야 함.,"목표 근육 고립, 부상 예방",중
91,아세틸콜린 설명,"운동 신경 말단에서 분비되는 신경전달물질로, 근육 세포막의 수용체와 결합하여 근수축 신호를 전달하는 핵심 역할을 함.","신경-근육 접합부 신경전달물질, 근수축 신호 전달",중
92,IFBB에서 탄 관련 규정,"문질러서 지워지는 컬러링(탄)은 전면 금지되며, 무대 오르기 24시간 전에 바르는 자연스러운 브론저나 전문 스프레이 탄닝만 허용됨.","지워지는 탄 금지, 24시간 전 브론저/스프레이 탄 허용",상
93,WADA에서 규정한 상시 금지 약물,"경기 중과 경기 외를 불문하고 항상 금지되는 약물로 동화작용제(스테로이드), 펩타이드 호르몬, 이뇨제 및 은폐제 등이 있음.","경기 중/외 모두 금지 (스테로이드, 이뇨제 등)",상
94,"HDL, LDL이란?","HDL은 혈관 벽의 콜레스테롤을 간으로 운반해 제거하는 '좋은 콜레스테롤'이고, LDL은 혈관에 콜레스테롤을 쌓아 동맥경화를 유발하는 '나쁜 콜레스테롤'임.","HDL(좋은 콜레스테롤, 혈관청소) / LDL(나쁜 콜레스테롤, 혈관막힘)",중
95,남자 피지크 쿼터턴 백 설명,"선수는 심판을 등지고 서서 허리에 손을 얹거나 포즈를 취해 등 근육의 대칭과 V테이퍼를 보여주고, 하체 후면의 긴장을 유지함.","등 근육 대칭과 V테이퍼 강조, 후면 긴장",상
96,스포츠 성폭력에 대하여 설명,"스포츠 현장에서 우월한 지위를 이용하여 신체적, 정신적, 성적으로 고통을 가하는 일체의 권력형 가해 행위를 말함.",지위를 이용한 신체/정신/성적 고통 가해,상
97,"엉덩관절의 내회전 근육, 내전 근육","엉덩관절 내회전에는 소둔근과 중둔근 전부섬유가, 내전에는 장내전근, 단내전근, 대내전근, 치골근, 박근이 관여함.","내회전(소둔근/중둔근 전부), 내전근군(대/장/단내전근 등)",중
98,세컨드 윈드란?,"운동이나 등산 중 숨이 차고 고통스러운 한계(사점)를 넘었을 때, 호흡이 편안해지고 의욕이 다시 생기는 현상",사점(Dead Point) 이후 호흡이 편해지는 적응 현상,상
99,심폐소생술 정의 및 순서,"환자의 의식을 확인하고 119에 신고한 뒤, 가슴압박 30회와 인공호흡 2회를 번갈아 가며 실시함.",의식 확인 → 119 신고 → 가슴압박(30) → 인공호흡(2),상
100,부득이하게 신체접촉 해야 할 경우 주의사항,"반드시 사전에 회원의 동의를 구하고, 접촉 부위와 목적을 명확히 설명하며, 최소한의 터치나 도구를 활용하여 지도해야 함.","사전 동의 필수, 목적 설명, 최소한의 터치",상
101,근수축 종류와 예시 운동,"근육 길이가 짧아지는 단축성 수축(등장성), 길어지는 신장성 수축(등장성), 길이가 변하지 않는 등척성 수축, 속도가 일정한 등속성 수축이 있음.","등장성(단축성/신장성), 등척성(길이 일정), 등속성(속도 일정)",상
102,근 수축 시 아세틸콜린의 역할,"운동 신경 말단에서 분비되는 신경전달물질로, 근육 세포막의 수용체와 결합하여 근수축 신호를 전달하는 핵심 역할을 함.","신경-근육 접합부 신경전달물질, 근수축 신호 전달",중
103,응급처치란?,사고나 질병 발생 시 즉각적이고 임시적인 처치를 제공하여 환자의 생명을 구하고 상태 악화를 방지하며 회복을 돕는 활동임.,"생명 구호, 상태 악화 방지, 임시적 처치",상
104,기초대사량이란?,"생명 유지(호흡, 심장박동, 체온유지 등)에 필요한 최소한의 에너지 소비량으로, 전체 에너지 소비의 약 60~70%를 차지함.","생명 유지 위한 최소 에너지, 근육량과 비례",상
105,스포츠지도사가 폭력을 예방하기 위해 해야하는 행동 4가지,"종목별 협회 규정에 맞는 정확한 복장과 포즈를 유지하여, 대상 근육의 수축과 신체 비례를 심판에게 명확히 보여주도록 지도해야 함.","규정 준수, 대상 근육 수축 어필",상
106,스쿼트가 안 되는 요통 환자에게 처방할 수 있는 하체 운동,"레그 익스텐션/컬, 힙브릿지, 런지","척추 부담 없는 레그익스텐션, 레그컬, 힙브릿지",상
107,심폐소생술 시 가슴을 압박하는 이유,심장에 압력을 가해 인공적으로 전신과 뇌로 혈액(산소)을 지속적으로 공급하여 뇌사 및 장기 손상을 막기 위함임.,뇌와 전신에 산소/혈액 공급 유지,상
108,글리코겐이 운동 시 어떤 역할 하는지,"근육과 간에 저장되는 탄수화물의 형태로, 운동 시 분해되어 해당 과정을 통해 빠르게 포도당과 ATP 에너지를 공급하는 핵심 원료임.","근육/간 저장 탄수화물, 운동 시 빠른 에너지 공급",상
109,스포츠 폭력예방 위한 지도자의 역할,"참여자의 운동 목표 달성을 돕는 안내자, 부상을 예방하는 안전 관리자, 지속적 참여를 이끄는 동기 부여자 역할을 함.","안내자, 안전 관리자, 동기부여자",상
110,2도 화상 설명,사고 발생 시 119 신고와 함께 즉각적이고 적절한 응급처치를 통해 환자의 생명을 보호하고 2차 손상을 막아야 함.,"신속한 응급처치, 생명 보호",상
